1,23,40,55,63,71,81,86,93,126,139
2,13,23,67,82,90,93,125,154,210,235
3,42,131,175,202,215,266,347,417,430,431
4,42,72,83,100,111,118,204,214,232,266
5,67,92,203,226,263,354,482,500,530,535
6,81,151,426,585,691,975,1078,1146,1237,1688
7,29,36,47,48,80,114,119,149,156,189
8,62,93,108,109,114,119,127,134,142,238
9,76,80,100,106,109,110,113,137,162,181
10,3,15,25,30,37,70,100,131,133,168
11,22,46,55,80,82,86,118,123,127,129
12,13,20,71,120,123,138,183,207,253,275
13,23,70,81,93,125,129,140,196,209,211
14,579,2129,2220,2297,2945,3261,3440,139,1543,1719
15,47,80,85,112,118,137,144,237,239,257
16,15,47,59,76,121,204,233,257,283,296
17,39,42,46,56,61,92,109,129,156,184
18,14,42,56,168,196,209,217,226,241,251
19,2,3,16,32,46,47,48,59,85,86
20,2098,4158,288,834,918,1244,1303,1419,2077,2342
21,13,36,50,71,90,129,183,274,279,290
22,49,151,632,1078,1479,1642,1846,1910,1917,1974
23,242,632,646,834,1146,1179,1410,1573,1846,1960
24,81,90,176,354,365,519,584,608,616,791
25,9,90,95,99,147,151,176,193,211,216
26,13,75,90,91,138,147,242,248,280,289
27,45,53,71,81,89,93,115,154,160,176
28,23,104,129,131,216,241,264,421,435,441
29,36,47,48,134,164,202,222,232,233,257
30,130,209,291,462,498,646,741,852,955,1053
31,64,125,325,620,658,858,912,961,975,1080
32,9,25,33,40,47,53,108,129,192,223
33,13,74,89,246,248,291,320,397,467,478
34,2857,3033,3112,3319,3387,3696,3812,3930,4154,4241
35,21,125,158,172,259,265,303,324,344,347
36,2,36,61,76,119,134,168,182,198,212
37,658,1167,1419,1527,1846,1974,2432,2508,2603,2990
38,4,5,21,22,92,120,126,129,139,141
39,81,153,209,219,235,298,343,348,364,381
40,45,55,104,123,183,193,249,250,258,348
41,31,44,71,92,93,95,115,211,255,275
42,14,21,23,114,123,155,197,209,273,305
43,9,19,20,23,33,36,48,90,91,95
44,9,23,33,47,63,67,90,125,140,169
45,26,52,60,78,88,112,167,173,282,294
46,25,62,70,130,134,150,189,320,328,370
47,49,1275,2293,2603,2623,2657,3338,3838,3919,4512
48,31,36,77,78,83,134,145,195,204,282
49,89,160,240,288,503,519,579,616,658,809
50,2,14,44,70,78,106,114,161,169,177
51,21,22,126,130,199,212,250,260,327,334
52,89,452,1010,1019,1118,1179,1318,1469,1874,1960
53,90,91,192,209,211,235,259,312,342,354
54,20,23,93,125,130,138,140,184,216,279
55,49,638,1146,1395,1960,2382,2603,2705,2922,2994
56,21,40,158,211,279,280,348,412,474,483
57,10,50,83,158,184,199,220,260,270,312
58,2,48,77,85,100,116,118,133,141,166
59,35,100,129,134,144,198,266,273,276,284
60,4790,5094,2623,3473,4116,4374,4492,4499,4512,5217
61,210,467,519,526,616,658,707,734,852,925
62,3,7,48,78,83,101,111,136,148,149
63,160,176,505,670,953,1244,1357,1375,1390,1599
64,81,86,139,160,342,387,406,469,478,503
65,13,16,50,55,95,108,117,147,180,209
66,2,15,25,31,45,80,136,164,204,222
67,5,90,91,117,130,140,205,215,246,298
68,100,106,150,212,263,266,281,283,332,340
69,37,498,585,616,685,703,765,852,1050,1377
70,30,141,181,230,306,331,336,355,372,376
71,11,20,40,80,118,166,179,217,245,265
72,53,63,82,117,129,131,156,158,164,179
73,49,53,55,67,125,160,175,248,364,579
74,1,2,3,4,5,6,7,8,9,10
75,9,11,14,19,71,76,169,193,245,253
76,2,8,16,28,31,43,69,85,86,100
77,3,14,77,93,95,120,155,206,217,320
78,5,53,62,67,125,160,184,246,339,397
79,19,23,63,81,89,120,151,180,216,240
80,2,14,23,69,81,99,119,130,138,199
81,210,265,364,397,401,405,452,496,503,529
82,49,234,288,519,1124,1254,1751,3061,3112,3147
83,31,37,54,57,85,106,122,141,204,214
84,3,25,28,29,30,47,48,58,72,113
85,30,47,58,72,113,122,137,141,164,177
86,7,21,42,45,109,119,131,158,166,192
87,2,3,10,16,31,45,59,82,109,127
88,568,666,858,897,938,1024,1167,1210,1486,1529
89,29,45,47,70,82,202,214,255,284,316
90,676,885,2620,2891,3852,3865,4977,5341,474,584
91,242,529,658,691,703,852,905,1037,1050,1159
92,29,86,114,155,158,296,302,380,396,469
93,5,11,13,63,64,73,81,117,125,138
94,67,78,345,564,213,2345,3231,590,4,76
95,45,4509,67,8654,3324,4825,32,56,807,409
96,23,78,90,89,889,4,3,739,248,28
97,1287,26,48,863,289,2189,690,531,84,165
98,378,90,89,332,56,78,368,34,908,52
99,43,69,494,70,41,145,26,85,2332,112
100,32,2,5,511,98,590,672,268,34,5862
